"geographyId","currency_ReferenceRate","totalSignedAmount_ReferenceRate","totalCommitmentAmount_ReferenceRate","totalDisbursedAmount_ReferenceRate","code","name"
"b1fb9f3f-70c5-4cba-850c-5035b0868980","USD",15264471.92,15264471.92,15264471.92,"BEN-202-G03-H-00",NA
"ec4cbe95-b688-4ab8-bb5b-61f6d90910a9","USD",93610200.51,68026400.3,65319393.3,"UZB-C-RAC",NA
"7b433a8d-92ac-4557-beab-13ceee659690","USD",45728726.21,39134175.76,38660670.49,"PHL-H-PSFI",NA
"9e2e4c76-e3b7-480b-ba13-e1174183d95e","USD",12455447.1,12455447.1,12455447.1,"MDA-T-PAS",NA
"c9980a5b-0d86-4ad5-ab99-788ca847bbb9","USD",56139999.88,56139999.88,56139999.88,"CHN-405-G04-T",NA
"d091c0a3-c6c4-4620-be0d-d5ed8d2c282c","USD",9038520,9038520,9038520,"QRA-M-IDB",NA
"90fb7820-b2f0-4401-bc77-067270585a9b","USD",240858897.59,203853538.2,195805600.05,"VNM-T-NTP",NA
"2ebb6460-e75b-422d-8f75-2ed9f241f5d5","USD",16758910.2,16758910.2,16758910.2,"LBR-607-G04-H",NA
"cdfdab69-170a-42ea-8b98-8e19e19c685a","USD",25337274.43,23906301.04,22704704.42,"TKM-T-UNDP",NA
"b0d51ce8-9bac-4575-9e9b-1f20091bebcf","USD",1626756.72,1626756.72,1626756.72,"MRT-202-G01-T-00",NA
"b3d59122-9d71-4df9-ae0e-9e4b1b315de8","USD",5837009.41,5837009.41,5837009.41,"MMR-305-G02-H",NA
"d9728bba-df64-4ff5-9968-f195de080917","USD",32913824.95,32913824.95,32913824.95,"SLE-M-MOHS",NA
"f1b33974-aeec-4ab8-9519-bd3600122512","USD",4779830.19,4779830.19,4779830.19,"ZAF-910-G08-H",NA
"01ad29a8-26df-4d6a-8ab6-b2268b79f21d","USD",4293341.33,4293341.33,4293341.33,"ECU-202-G03-H-00",NA
"2d777324-7b1f-48ad-a1e0-72f6e4d2b646","USD",72596190.73,52496722.82,47116847.3,"BWA-C-BMoH",NA
"eeb0ddd9-ea5d-462e-b957-64421142ab69","USD",12036765.07,12036765.07,12036765.07,"DJI-C-UNDP",NA
"c9980a5b-0d86-4ad5-ab99-788ca847bbb9","USD",73435943.85,73435943.85,73435943.85,"CHN-102-G01-T-00",NA
"2afb8ffb-ea1a-42a0-b9a8-357ca8434d92","USD",68634091.69,68634091.69,68634091.69,"HTI-102-G09-H",NA
"ec4cbe95-b688-4ab8-bb5b-61f6d90910a9","USD",386895.6,386895.6,386895.6,"UZB-T-RSSPMCPhP",NA
"a1d45f7a-4622-4002-aedc-8bae17df0bc7","USD",36403109.03,36403109.03,36403109.03,"AGO-H-UNDP",NA
"79cc6298-8372-48b4-9712-b11eaba1a805","USD",25133852.28,25133852.28,25133852.28,"PRK-810-G01-M",NA
"3bcd34fa-b909-4cdf-93a2-75d02ac5cee9","USD",22424797.24,19436702.4,19434108.9,"MYS-H-MAC",NA
"6e687023-6549-45be-ad92-e64151157471","USD",5458664,5458664,5458664,"GHN-809-G09-H",NA
"5407d575-ab23-4db6-ac34-b5eb567da7f0","USD",1161875,1161875,1161875,"ZMB-102-G15-T-00",NA
